Datetimecombined,original_Latitude,original_Longitude,Date,Time,datetime,Latitude,Longitude
06-12-2025 12:53:57,13.0177521666666,80.240897,2025-12-06,12:53:57,2025-12-06 12:53:57,13.017730883629637,80.24094188002415
06-12-2025 12:53:58,13.017701,80.2408925,2025-12-06,12:53:58,2025-12-06 12:53:58,13.017691954227445,80.24093278901923
06-12-2025 12:53:59,13.01771,80.24091,2025-12-06,12:53:59,2025-12-06 12:53:59,13.0177042392395,80.24093565788152
06-12-2025 12:54:00,13.017817,80.2408853333333,2025-12-06,12:54:00,2025-12-06 12:54:00,13.017730883629637,80.24094188002415
06-12-2025 12:54:01,13.0177698333333,80.2408695,2025-12-06,12:54:01,2025-12-06 12:54:01,13.017730883629637,80.24094188002415
06-12-2025 12:54:02,13.0177778333333,80.2409236666666,2025-12-06,12:54:02,2025-12-06 12:54:02,13.017730883629637,80.24094188002415
06-12-2025 12:54:03,13.017853,80.2408566666666,2025-12-06,12:54:03,2025-12-06 12:54:03,13.017730883629637,80.24094188002415
06-12-2025 12:54:04,13.0177851666666,80.2409201666666,2025-12-06,12:54:04,2025-12-06 12:54:04,13.017730883629637,80.24094188002415
06-12-2025 12:54:05,13.0176645,80.2409303333333,2025-12-06,12:54:05,2025-12-06 12:54:05,13.017665343868211,80.24092657482544
06-12-2025 12:54:06,13.0176803333333,80.2409101666666,2025-12-06,12:54:06,2025-12-06 12:54:06,13.017676086106565,80.24092908341039
06-12-2025 12:54:07,13.0175425,80.2409161666666,2025-12-06,12:54:07,2025-12-06 12:54:07,13.01754639957664,80.24089879833132
06-12-2025 12:54:08,13.0175775,80.2409151666666,2025-12-06,12:54:08,2025-12-06 12:54:08,13.017579442558448,80.24090651469912
06-12-2025 12:54:09,13.0174675,80.2409003333333,2025-12-06,12:54:09,2025-12-06 12:54:09,13.017508696768097,80.24088999377894
06-12-2025 12:54:10,13.017299,80.2409386666666,2025-12-06,12:54:10,2025-12-06 12:54:10,13.017508696768097,80.24088999377894
06-12-2025 12:54:11,13.0174116666666,80.2409206666666,2025-12-06,12:54:11,2025-12-06 12:54:11,13.017508696768097,80.24088999377894
06-12-2025 12:54:12,13.0177008333333,80.2409621666666,2025-12-06,12:54:12,2025-12-06 12:54:12,13.017706658307674,80.24093622279541
06-12-2025 12:54:13,13.0177465,80.2409318333333,2025-12-06,12:54:13,2025-12-06 12:54:13,13.017730883629637,80.24094188002415
06-12-2025 12:54:14,13.017382,80.2408881666666,2025-12-06,12:54:14,2025-12-06 12:54:14,13.017508696768097,80.24088999377894
06-12-2025 12:54:15,13.0174556666666,80.240889,2025-12-06,12:54:15,2025-12-06 12:54:15,13.017508696768097,80.24088999377894
