datetime,original_Latitude,original_Longitude,Date,Time,Latitude,Longitude
2025-12-06 10:44:00,13.01814167,80.24095567,2025-12-06,10:43:51,13.018136920679359,80.24101263016087
2025-12-06 10:44:01,13.01809867,80.240945,2025-12-06,10:43:52,13.018093346105504,80.24100885121645
2025-12-06 10:44:02,13.01808817,80.24095183,2025-12-06,10:43:53,13.018083486879728,80.24100799618891
2025-12-06 10:44:03,13.01797533,80.24098917,2025-12-06,10:43:54,13.017974548012225,80.24099854862133
2025-12-06 10:44:04,13.01802483,80.24097017,2025-12-06,10:43:55,13.018022119806046,80.24100267421646
2025-12-06 10:44:05,13.01795217,80.24099017,2025-12-06,10:43:56,13.01795269916764,80.24099665381219
2025-12-06 10:44:06,13.01796567,80.2410215,2025-12-06,10:43:57,13.017967633680911,80.24099794898602
2025-12-06 10:44:07,13.0180025,80.24103783,2025-12-06,10:43:58,13.018005551094292,80.24100123731874
2025-12-06 10:44:08,13.01802517,80.241019,2025-12-06,10:43:59,13.018026499571459,80.24100305404535
2025-12-06 10:44:09,13.01808383,80.24101733,2025-12-06,10:44:00,13.018084600201187,80.24100809274016
2025-12-06 10:44:10,13.01799517,80.24097383,2025-12-06,10:44:01,13.017992975716128,80.24100014673722
2025-12-06 10:44:11,13.0179555,80.24099633,2025-12-06,10:44:02,13.017955453087014,80.2409968926418
2025-12-06 10:44:12,13.0179075,80.24101783,2025-12-06,10:44:03,13.01795269916764,80.24099665381219
2025-12-06 10:44:13,13.01806017,80.2409755,2025-12-06,10:44:04,13.018057647321154,80.24100575528962
2025-12-06 10:44:14,13.017944,80.24100883,2025-12-06,10:44:05,13.01795269916764,80.24099665381219
2025-12-06 10:44:15,13.01805983,80.24096433,2025-12-06,10:44:06,13.018056385097227,80.24100564582504
2025-12-06 10:44:16,13.01781883,80.24099267,2025-12-06,10:44:07,13.01795269916764,80.24099665381219
2025-12-06 10:44:17,13.01790417,80.241004,2025-12-06,10:44:08,13.01795269916764,80.24099665381219
2025-12-06 10:44:18,13.017934,80.24100467,2025-12-06,10:44:09,13.01795269916764,80.24099665381219
2025-12-06 10:44:19,13.01804783,80.24098033,2025-12-06,10:44:10,13.018045795743712,80.24100472747838
2025-12-06 10:44:20,13.01805967,80.24090133,2025-12-06,10:44:11,13.018051011045927,80.24100517976805
2025-12-06 10:44:21,13.017948,80.24102833,2025-12-06,10:44:12,13.01795269916764,80.24099665381219
2025-12-06 10:44:22,13.01799217,80.24103867,2025-12-06,10:44:13,13.017995364790805,80.24100035392627
2025-12-06 10:44:23,13.0179395,80.24104933,2025-12-06,10:44:14,13.01795269916764,80.24099665381219
2025-12-06 10:44:24,13.0180045,80.24098817,2025-12-06,10:44:15,13.018003425817332,80.24100105300715
2025-12-06 10:44:25,13.01787867,80.24101117,2025-12-06,10:44:16,13.01795269916764,80.24099665381219
2025-12-06 10:44:26,13.01794733,80.24098683,2025-12-06,10:44:17,13.01795269916764,80.24099665381219
2025-12-06 10:44:27,13.01797833,80.240968,2025-12-06,10:44:18,13.017975773997593,80.24099865494313
2025-12-06 10:44:28,13.01798867,80.240968,2025-12-06,10:44:19,13.017986039766047,80.240999545227
2025-12-06 10:44:29,13.0179995,80.24088933,2025-12-06,10:44:20,13.017990279637909,80.24099991292374
2025-12-06 10:44:30,13.01794817,80.24096017,2025-12-06,10:44:21,13.01795269916764,80.24099665381219
2025-12-06 10:44:31,13.01795867,80.24093433,2025-12-06,10:44:22,13.017953467899154,80.2409967204793
2025-12-06 10:44:32,13.01788083,80.24095433,2025-12-06,10:44:23,13.01795269916764,80.24099665381219
2025-12-06 10:44:33,13.01799433,80.240911,2025-12-06,10:44:24,13.017986940614769,80.24099962335178
2025-12-06 10:44:34,13.01798983,80.24096183,2025-12-06,10:44:25,13.017986680678868,80.24099960080922
2025-12-06 10:44:35,13.018015,80.24100467,2025-12-06,10:44:26,13.01801521632714,80.24100207552216
2025-12-06 10:44:36,13.01780217,80.240987,2025-12-06,10:44:27,13.01795269916764,80.24099665381219
2025-12-06 10:44:37,13.01771667,80.24103617,2025-12-06,10:44:28,13.01795269916764,80.24099665381219
2025-12-06 10:44:38,13.0179905,80.24097333,2025-12-06,10:44:29,13.017988297851808,80.2409997410562
2025-12-06 10:44:39,13.01808567,80.24101783,2025-12-06,10:44:30,13.018086468382288,80.24100825475554
2025-12-06 10:44:40,13.01804917,80.24101367,2025-12-06,10:44:31,13.018049886049031,80.2410050822043
2025-12-06 10:44:41,13.01801767,80.2411025,2025-12-06,10:44:32,13.018025965666771,80.24100300774323
2025-12-06 10:44:42,13.01801633,80.24113617,2025-12-06,10:44:33,13.018027422546192,80.24100313408903
2025-12-06 10:44:43,13.01809583,80.24102217,2025-12-06,10:44:34,13.01809691471341,80.241009160699
2025-12-06 10:44:44,13.01811067,80.24120617,2025-12-06,10:44:35,13.018253096268612,80.24108771496823
2025-12-06 10:44:45,13.01813517,80.241204,2025-12-06,10:44:36,13.018253096268612,80.24108771496823
2025-12-06 10:44:46,13.0180845,80.24133283,2025-12-06,10:44:37,13.018253096268612,80.24108771496823
2025-12-06 10:44:47,13.01815333,80.2410865,2025-12-06,10:44:38,13.018253096268612,80.24108771496823
2025-12-06 10:44:48,13.01825017,80.24120683,2025-12-06,10:44:39,13.018285205444684,80.24109851775772
2025-12-06 10:44:49,13.0183915,80.24115967,2025-12-06,10:44:40,13.018398906928619,80.2411367714298
2025-12-06 10:44:50,13.01857917,80.2412835,2025-12-06,10:44:41,13.018602908456275,80.24119903572198
2025-12-06 10:44:51,13.018538,80.2410055,2025-12-06,10:44:42,13.018492664539075,80.24116680932521
2025-12-06 10:44:52,13.01902783,80.24129283,2025-12-06,10:44:43,13.01895593736779,80.24130044723063
2025-12-06 10:44:53,13.01884883,80.24123833,2025-12-06,10:44:44,13.018840800109915,80.2412676523417
2025-12-06 10:44:54,13.01897183,80.2411915,2025-12-06,10:44:45,13.018943003779835,80.24129676331673
2025-12-06 10:44:55,13.01898283,80.24132083,2025-12-06,10:44:46,13.018986039341492,80.241308799638
2025-12-06 10:44:56,13.0190815,80.24113867,2025-12-06,10:44:47,13.019032663418788,80.24132173644416
2025-12-06 10:44:57,13.01902017,80.24102717,2025-12-06,10:44:48,13.01895593736779,80.24130044723063
2025-12-06 10:44:58,13.01911333,80.24143117,2025-12-06,10:44:49,13.019134952116312,80.24135011855635
2025-12-06 10:44:59,13.01914067,80.24138133,2025-12-06,10:44:50,13.019148028365688,80.24135374683344
2025-12-06 10:45:00,13.01917617,80.2414735,2025-12-06,10:44:51,13.019194305795585,80.24136658747076
2025-12-06 10:45:01,13.0191105,80.24146933,2025-12-06,10:44:52,13.019141795524037,80.24135201740197
2025-12-06 10:45:02,13.01918083,80.24164083,2025-12-06,10:44:53,13.019254935690242,80.24138484325148
2025-12-06 10:45:03,13.019344,80.24151183,2025-12-06,10:44:54,13.019370673020488,80.24141969201303
2025-12-06 10:45:04,13.0193535,80.24150517,2025-12-06,10:44:55,13.01937763791322,80.24142178915832
2025-12-06 10:45:05,13.01958733,80.24159833,2025-12-06,10:44:56,13.019617435666596,80.24149359741395
2025-12-06 10:45:06,13.0196555,80.24148767,2025-12-06,10:44:57,13.01965091851178,80.241503608248
2025-12-06 10:45:07,13.01944867,80.24143483,2025-12-06,10:44:58,13.019446470523881,80.24144248161622
2025-12-06 10:45:08,13.01952683,80.24193133,2025-12-06,10:44:59,13.019649870192572,80.24150329481733
2025-12-06 10:45:09,13.01971867,80.241739,2025-12-06,10:45:00,13.019778059815824,80.24154366715439
2025-12-06 10:45:10,13.01987367,80.24172,2025-12-06,10:45:01,13.019913760510727,80.24158645671683
2025-12-06 10:45:11,13.01999533,80.24171283,2025-12-06,10:45:02,13.020023025591398,80.2416205747125
2025-12-06 10:45:12,13.0200425,80.2416865,2025-12-06,10:45:03,13.020058925892812,80.24163178457938
2025-12-06 10:45:13,13.020032,80.241695,2025-12-06,10:45:04,13.020051658852019,80.24162951544609
2025-12-06 10:45:14,13.0201715,80.24169483,2025-12-06,10:45:05,13.020179160989027,80.24167008865375
2025-12-06 10:45:15,13.02024317,80.24190767,2025-12-06,10:45:06,13.020304259942753,80.24171037882446
2025-12-06 10:45:16,13.02019933,80.24165117,2025-12-06,10:45:07,13.020192174218234,80.24167427977592
2025-12-06 10:45:17,13.020245,80.24175283,2025-12-06,10:45:08,13.020262326556447,80.24169687348501
2025-12-06 10:45:18,13.0202555,80.24178183,2025-12-06,10:45:09,13.020280039753374,80.24170257831203
2025-12-06 10:45:19,13.0201965,80.24174717,2025-12-06,10:45:10,13.020216630998311,80.24168215648098
2025-12-06 10:45:20,13.020166,80.24183317,2025-12-06,10:45:11,13.020213111349728,80.24168102292064
2025-12-06 10:45:21,13.02016833,80.24179483,2025-12-06,10:45:12,13.020204434877066,80.24167822852097
2025-12-06 10:45:22,13.0204045,80.24169083,2025-12-06,10:45:13,13.020352839679617,80.24172602473634
2025-12-06 10:45:23,13.020277,80.2416935,2025-12-06,10:45:14,13.020274719526592,80.24170086484523
2025-12-06 10:45:24,13.02029,80.24179033,2025-12-06,10:45:15,13.020342601380982,80.24179810165427
2025-12-06 10:45:25,13.0204585,80.24173617,2025-12-06,10:45:16,13.020352839679617,80.24172602473634
2025-12-06 10:45:26,13.02020567,80.24179367,2025-12-06,10:45:17,13.020339059925268,80.24180651583384
2025-12-06 10:45:27,13.02025967,80.24177317,2025-12-06,10:45:18,13.020339059925268,80.24180651583384
2025-12-06 10:45:28,13.02030417,80.24188533,2025-12-06,10:45:19,13.020310891730977,80.24187683314466
2025-12-06 10:45:29,13.02025867,80.24195717,2025-12-06,10:45:20,13.020310891730977,80.24187683314466
2025-12-06 10:45:30,13.02032683,80.24185217,2025-12-06,10:45:21,13.020321638046886,80.24185000672432
2025-12-06 10:45:31,13.0202775,80.24183317,2025-12-06,10:45:22,13.020321104643806,80.24185133827811
2025-12-06 10:45:32,13.02021167,80.2420715,2025-12-06,10:45:23,13.020310891730977,80.24187683314466
2025-12-06 10:45:33,13.01995633,80.24201533,2025-12-06,10:45:24,13.020310891730977,80.24187683314466
2025-12-06 10:45:34,13.020503,80.24152083,2025-12-06,10:45:25,13.020339059925268,80.24180651583384
2025-12-06 10:45:35,13.0201605,80.241855,2025-12-06,10:45:26,13.020310891730977,80.24187683314466
2025-12-06 10:45:36,13.02026883,80.241691,2025-12-06,10:45:27,13.020339059925268,80.24180651583384
2025-12-06 10:45:37,13.02042117,80.24198817,2025-12-06,10:45:28,13.020310891730977,80.24187683314466
2025-12-06 10:45:38,13.02026967,80.24184717,2025-12-06,10:45:29,13.02031517863317,80.2418661315955
2025-12-06 10:45:39,13.020348,80.24168917,2025-12-06,10:45:30,13.020339059925268,80.24180651583384
2025-12-06 10:45:40,13.02031317,80.241491,2025-12-06,10:45:31,13.020339059925268,80.24180651583384
2025-12-06 10:45:41,13.02020417,80.24165783,2025-12-06,10:45:32,13.020151869934889,80.24182512474567
2025-12-06 10:45:42,13.02009867,80.241777,2025-12-06,10:45:33,13.020089922336938,80.24180498154233
2025-12-06 10:45:43,13.02007417,80.24153233,2025-12-06,10:45:34,13.020006830955728,80.24178028516435
2025-12-06 10:45:44,13.01982917,80.24176767,2025-12-06,10:45:35,13.01983864606747,80.24173277740373
